seg_id,seg_atd,seg_lon,seg_lat,seg_lon_beg,seg_lat_beg,seg_lon_end,seg_lat_end,seg_npts,seg_ca_pts,seg_te_pts,h_ca_min,h_ca_mean,h_ca_max,h_ca_std,h_ca_p50,h_ca_p98,h_te_min,h_te_mean,h_te_max,h_te_interp,h_te_std,msw_flag,night_flag
1,15,23.8021448345626,-13.7154600294856,23.8021586060802,-13.7155949381491,23.802131063045,-13.7153251208221,44,34,10,3.70953848471891,12.8273038270544,17.3798159525061,4.00011052873052,13.3507475902572,17.3591538858375,1086.0439453125,1086.29632568359,1086.52453613281,1086.04266979534,0.154108001634622,2,1
2,45,23.8021172915431,-13.7151902121557,23.802131063045,-13.7153251208221,23.8021035200412,-13.7150553034893,41,31,10,2.37579991735993,13.1630379479068,20.5537175032521,6.00661285419499,14.5666700147152,20.5311017470748,1085.92004394531,1086.07999267578,1086.31298828125,1085.9657324712,0.107965224969577,2,1
3,75,23.802089748555,-13.7149203948199,23.8021035200412,-13.7150553034893,23.8020759770689,-13.7147854861505,41,36,5,2.70397017524829,10.8828757079429,18.0479472619613,5.36109156065673,10.6943261701989,17.993581064442,1085.69372558594,1085.86645507812,1086.10632324219,1085.66426201521,0.152306160813294,2,1
4,105,23.8020622055985,-13.7146505774782,23.8020759770689,-13.7147854861505,23.802048434128,-13.7145156688059,49,31,18,2.03357786145125,8.50952231693239,15.7955817474847,3.65954946847774,8.13257465627987,15.7955817474847,1085.53002929688,1085.7417195638,1086.02978515625,1085.54670482757,0.148877223310092,2,1
5,135,23.8020346626733,-13.7143807601306,23.802048434128,-13.7145156688059,23.8020208912186,-13.7142458514554,49,33,16,3.15795386715922,9.28696689457484,13.6276765380824,3.15850863263973,9.30278376032902,13.6091585608355,1085.29040527344,1085.5549621582,1085.93701171875,1085.32286745034,0.164360565813692,2,1
6,165,23.8020071197797,-13.7141109427772,23.8020208912186,-13.7142458514554,23.8019933483407,-13.713976034099,35,30,5,4.40233096603265,13.0534268953441,17.5512478022349,3.51008769075963,13.9988918151614,17.5428596063968,1085.26354980469,1085.49909667969,1085.71899414062,1085.40328829847,0.166247006905652,2,1
7,195,23.8019795769175,-13.7138411254178,23.8019933483407,-13.713976034099,23.8019658054942,-13.7137062167367,43,32,11,4.54335045115863,14.1900002293169,18.0527854864472,3.4913221465732,15.2499377335591,18.0461718012808,1084.82104492188,1085.08578213778,1085.30798339844,1084.97442422977,0.15905187510348,2,1
8,225,23.8019520340867,-13.7135713080526,23.8019658054942,-13.7137062167367,23.8019382626792,-13.7134363993686,42,27,15,2.06213525727935,12.2847482205833,15.5494130532695,3.24347026526506,12.6719353606346,15.542482438756,1084.47802734375,1084.66160481771,1084.84106445312,1084.52891753106,0.116822927831436,2,1
9,255,23.8019244912874,-13.7133014906815,23.8019382626792,-13.7134363993686,23.8019107198956,-13.7131665819945,37,33,4,7.92686030737354,13.1002051992398,16.7670662929197,2.5856224813495,13.1906428057456,16.7097515395626,1083.2578125,1083.68478393555,1084.18518066406,1083.60029936546,0.385428802733042,2,1
10,285,23.8018969485195,-13.7130316733046,23.8019107198956,-13.7131665819945,23.8018831771434,-13.7128967646146,49,38,11,4.57835185920931,12.7277660877514,17.6553730126645,3.04214966813808,13.3177872997251,17.5228888974191,1081.59240722656,1082.41634854403,1083.12475585938,1082.32209334724,0.431119983157354,2,1
